repr,zhu_code
一,Fi
一,Fi
丁,An
丂,Sk
七,Ai
七,Ai
三,Fa
下,Ak
丅,Ak
丌,Aj
不,Du
世,Hi
丰,Dn
二,Se
二,Se
{两点},Se
二,Se
亍,Ah
來,Dl
兀,Hw
兀,Hw
其,Dq
匚,Gf
{畏下},Gf
匸,Gf
匸,Gf
十,Di
厂,Sh
古,Dg
土,Ht
耂,Ht
士,Hh
龶,Hh
{穀頭},Hh
大,Gd
夫,Gu
𡗗,Gu
寸,Ac
尤,Do
尢,Do
工,Fo
干,Hg
弋,Gy
戈,Gg
戊,Dw
扌,As
キ,As
キ,As
ヰ,As
キ,As
木,Fv
朩,Fv
未,He
末,Ho
歹,Dd
爾,Fe
牙,Hy
犬,Sq
王,Gw
王,Gw
王,Gw
瓦,Aw
甫,Fu
石,Dh
丆,Dh
丆,Dh
示,Hs
礻,Hs
示,Hs
而,Sr
耳,Ar
臣,Sc
至,Hk
艹,Sa
{冓上},Sa
龷,Sa
卅,Sa
卌,Sa
卄,Sa
卄,Sa
卝,Sa
卄,Sa
西,Dx
覀,Dx
襾,Dx
豕,Ds
豕,Ds
走,Dk
車,Gc
叀,Gc
{專上},Gc
车,Hc
辰,Sn
酉,Go
長,Ha
镸,Ha
髟,Ha
雨,Dy
雨,Dy
面,Gi
革,Ge
馬,Dm
{馬上},Dm
{右上},Ss
{于下},Au
丶,Od
⼂,Od
㇏,Od
㇝,Od
乀,Od
丷,Ue
丬,Ue
丷,Ue
リ,Ue
䒑,Ue
之,Pc
亡,Uw
{贏頭},Uw
亥,Oi
亦,Pi
亦,Pi
宀,Oo
亠,Oo
广,Uu
户,Ih
戸,Ih
戶,Ih
文,Pw
方,Og
氵,Iu
{三點},Iu
{三點},Iu
{三點},Iu
{三點},Iu
火,Uo
灬,Uo
疒,Pb
穴,Px
立,Ii
米,Pm
羊,Ug
羊,Ug
衤,Py
言,Ua
言,Ua
讠,Oa
辛,Ox
辶,Pd
辶,Pd
辶,Pd
门,Pn
鹿,Il
{鹿上},Il
麻,Pa
{微上},Ri
{爲下},Ww
丿,Qp
丿,Qp
丿,Qp
乂,Wa
乂,Wa
𠂭,Wa
乌,Ew
九,Yj
人,Te
人,Te
亻,Ee
僉,Rl
儿,Qr
{荒下},Qr
入,Ru
八,Td
{介下},Td
冖,Ym
冖,Ym
冖,Ym
冖,Ym
几,Qj
几,Qj
几,Qj
凡,Qn
匕,Ri
匕,Ri
千,Wk
卯,Tm
{齊右},Tm
{乐上},Tm
{卬左},Tm
{卯左},Tm
合,Ye
向,Rn
{向框},Rn
{囟框},Rn
壬,Er
壬,Er
夂,Eh
夂,Eh
夂,Eh
夂,Eh
夕,Rk
夭,Eo
川,Qc
彡,Ti
{癶右},Ti
{两撇},Ti
彳,Rc
心,Yi
忄,Yi
手,Tu
龵,Tu
斤,Ej
,Ej
,Ej
,Ej
月,Wy
⼓,Wy
⼓,Wy
{祭上},Wy
⺆,Wy
月,Wy
月,Wy
月,Wy
欠,Ei
殳,Qh
毛,Rm
气,Qq
烏,Yw
{烏上},Yw
爪,Ek
爪,Ek
爪,Ek
片,Tp
牛,Wn
⺧,Wn
牜,Wn
⺧,Wn
犭,Rq
瓜,Qu
生,Wg
用,Tn
白,Eb
矢,Qi
禾,Rh
禾,Rh
竹,Qk
竹,Qk
竹,Qk
{丿一},Qk
竹,Qk
{⺮右},Qk
{丿一},Qk
缶,Wo
自,Tk
臼,Rj
⾅,Rj
臼,Rj
舌,Re
舟,Qo
豸,Yk
身,We
身,We
金,Wj
金,Wj
钅,Tj
长,Th
隹,Wi
風,Rf
食,Ys
食,Ys
食,Ys
食,Ys
食,Ys
饣,Rs
鬼,Wu
{卑上},Wu
魚,Ty
鱼,Qy
鳥,Ro
{鳥上},Ro
鸟,Ya
{鸟上},Ya
𠂤,Yd
𧘇,Ry
𧘇,Ry
{亞下},Ja
{亞中},Ja
上,Ks
上,Ks
丄,Ks
且,Mi
且,Mi
冂,Kg
{雋下},Kg
冂,Kg
{冂丶},Kg
冊,Nc
冊,Nc
刂,Md
卜,Mo
{龍右},Mo
{乍下},Mo
卜,Mo
口,Lv
口,Lv
咼,Na
冎,Na
囗,Nw
小,Ma
小,Ma
小,Ma
小,Ma
尚,Ns
〢,Ns
丨,Ns
{四竖},Ns
〣,Ns
{尚头},Ns
丨,Ns
山,Js
巾,Mj
攴,Kp
日,Jr
日,Jr
早,Jo
曰,Je
止,Ni
水,Kh
水,Kh
田,Jt
由,Ko
甲,Kj
申,Ke
电,Kd
皿,Mn
目,Mk
禺,Ky
罒,Mw
虎,Mh
{虎头},Mh
{虎头},Mh
{虎头},Mh
{虎头},Mh
虫,Kc
見,Mx
见,Kx
貝,Mb
贝,Kb
足,Nv
足,Nv
足,Nv
門,Kn
非,Li
骨,Mg
⾻,Mg
鬥,Nd
鹵,Kl
黑,Ne
黽,Jm
{龜下},Jm
齒,Mc
龰,Nh
{鼠下},Bu
丑,Bc
乃,Va
乙,Vi
乙,Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{逆折},Xi
〇,Xi
〇,Xi
{逆折},Xi
{逆折},Xi
{逆折},Xi
{逆折},Xi
{逆折},Xi
{逆折},Xi
{逆折},Xi
{逆折},Xi
{逆折},Xi
也,Cy
乜,Cy
了,Vl
予,Cu
凵,Xa
屮,Xa
屮,Xa
丩,Xa
丱,Xa
丩,Xa
刀,Bd
力,Xk
卩,Xj
卩,Xj
厶,Vv
又,Bu
コ,Bu
コ,Bu
コ,Bu
ス,Bu
マ,Bu
マ,Bu
{登上},Bu
女,Cn
子,Vk
尸,Bh
尸,Bh
{眉上},Bh
巛,Vh
巜,Vh
己,Bj
已,Bi
巳,Ck
巴,Cb
幺,Vo
廴,Xn
弓,Vg
彐,Xx
彐,Xx
彐,Xx
{反彐},Xx
{反彐},Xx
{反彐},Xx
肀,Xx
肀,Xx
母,Bm
{互中},Bm
{母框},Bm
{母框},Bm
爿,Xp
皮,Vp
矛,Co
糸,Bs
糹,Bs
纟,Vs
{纟上},Vs
羽,Xu
习,Xu
艮,Vn
阝,Cf
韋,Ci
{五下},Ci
飛,Bf
马,Xm
马,Xm
