a	把
aa	打
aaa	攝
aaaa	抑揚頓挫
aaaa	拉拉扯扯
aaaa	敢打
aaaa	抑扬顿挫
aaaa	𤮱
aaaa	𮌀
aaab	攝取
aaab	七擒七縱
aaab	七七事變
aaab	摄取
aaad	招摇撞騙
aaad	打擾
aaad	打擂
aaad	招搖撞騙
aaad	打扰
aaae	撖
aaae	𦗪
aaae	打折
aaae	打援
aaae	打聽
aaae	㱌
aaae	𣀳
aaaf	𣠞
aaag	打聽
aaai	可歌可泣
aaai	打搅
aaai	㐂
aaak	打下
aaal	打拐
aaam	打掉
aaam	顳
aaam	𠠨
aaan	𬻄
aaan	𰒾
aaao	招摇过市
aaap	七七事变
aaap	𨙓
aaar	聶
aaar	打攪
aaar	𥤋
aaar	𩙝
aaar	𰚶
aaas	打捞
aaat	打扮
aaat	揶揄
aaau	打撈
aaau	打拼
aaau	七七事變
aaav	七擒七纵
aaav	𭽺
aaaw	抓耳撓腮
aaaw	抓耳挠腮
aaax	打掃
aaax	打击
aaax	招摇撞骗
aaax	打扫
aaay	打探
aab	摄
aaba	打对
aabd	𢪃
aabd	𦕀
aabh	打結
aabo	打叉
aabs	𢷗
aabs	𮋼
aabt	𢷗
aabt	𮋼
aabt	打通
aabu	掫
aabv	打發
aaby	打給
aac	揶
aaco	𢩭
aacv	打好
aada	打趣
aada	东拉西扯
aadh	打抱不平
aadj	打雷
aadj	敢幹
aadk	扶摇直上
aadk	扶搖直上
aadl	打來
aadm	憨直
aado	打碎
aado	摇擺不定
aado	搖擺不定
aado	摇摆不定
aadr	打死
aads	东拼西凑
aadv	打破
aadv	打成
aady	聼
aaeb	打亂
aaeb	打假
aaed	敢做
aaeh	敢
aaeh	打倒
aaej	𫶔
aaej	𦕶
aael	𢲃
aaem	耳聽爲虚
aaem	耳聽爲虛
aaeo	打住
aaeq	打傷
aaeq	打伤
aaes	打仗
aaew	打的
aaey	憨
aaey	饏
aaey	𢺭
aaey	攝像
aaey	摄像
aaey	𢦀
aafg	打樁
aafj	𤳾
aafm	敢想
aafn	攝政
aafn	摄政
aafo	打工
aafo	𢬀
aafp	打来
aafq	拖拉机
aafs	打开
aaft	打槍
aaft	打枪
aafu	打桩
aafv	拖拉機
aafv	𱣎
aafw	𱠘
aafx	𢪪
aafx	𰭵
aafy	耿耿于怀
aagb	𦕼
aagc	打靶
aagc	打車
aagd	𫯺
aagf	打球
aagg	打轉
aagg	𢧎
aagg	𢲦
aagh	𢲖
aagj	㩅
aagk	打理
aagx	打擊
aagy	耳提面命
aagy	𢺭
aahc	打车
aahd	打坏
aahg	打垮
aahh	拆东墙补西墙
aahj	打場
aahl	打鼓
aahm	打到
aaho	打壞
aaho	𰓮
aahs	打转
aahu	打平
aahv	打劫
aahv	打场
aahw	事过境迁
aaic	𤮌
aaif	打溼
aaih	打法
aaij	打濕
aaij	打湿
aaim	打消
aaim	打滑
aaio	打滚
aaio	打滾
aaio	𰒷
aais	打滿
aais	打满
aaiw	掩耳盜鈴
aaje	𣀋
aajf	打量
aajj	摇摇晃晃
aajj	搖搖晃晃
aajk	𢀘
aajo	攝影
aajo	摄影
aakc	披掛上陣
aakc	披挂上阵
aake	打败
aakf	打開
aakf	𱻽
aakh	打赌
aakh	𢳞
aakl	敢問
aakm	打卡
aako	𢩹
aaks	打蜡
aakv	打蠟
aale	𢶫
aale	打听
aalf	打嗝
aalg	𢶫
aali	打非
aalk	指挥员
aall	打駡
aall	打單
aall	打骂
aalm	指揮員
aaln	打中
aalq	打招呼
aalr	打鳴
aalr	打响
aalv	抲
aalx	𱠉
aaly	打鸣
aama	打盹
aamd	打罵
aame	打敗
aamg	打尖
aamh	打賭
aamj	耳聰目明
aamj	耳聪目明
aaml	打点
aamm	指指点点
aamv	打眼
aan	耵
aanb	打紧
aand	打鬥
aane	捷报频传
aani	𢲮
aanj	敢當
aanm	打點
aann	指指點點
aano	招摇過市
aano	打鬧
aano	招搖過市
aanr	打柴
aanu	打圈
aanu	打對
aaob	指揮官
aaob	憨實
aaob	指挥官
aaof	打完
aaof	拉丁语
aaog	𪭫
aaom	耳聽為虛
aaon	打顫
aaon	指揮官
aaon	打颤
aaoo	切切實實
aaoo	扎扎实实
aaoo	切切实实
aaoq	打穿
aaot	打雜
aaot	敢於
aaou	打谱
aaov	打字
aaow	敢為
aaoy	耿耿於懷
aap	挝
aapd	打磨
aaph	抖擻精神
aaph	打穿
aaph	抖擞精神
aapk	挑撥離間
aapo	打闹
aapp	挑拨离间
aapp	热热闹闹
aapw	拉丁文
aapx	打断
aaq	挠
aaqb	𢫇
aaqe	憨笑
aaqg	打動
aaqh	𮶉
aaqm	打算
aaqm	𭡴
aaqp	打氣
aaqp	打翻
aaqp	𢩱
aaqq	打气
aar	聑
aaro	挕
aarr	聑
aars	打猎
aaru	打入
aaru	攝入
aaru	摄入
aarv	打獵
aarv	打私
aarx	打乱
aasb	打緊
aasd	打斗
aase	振振有辭
aase	打藥
aash	打压
aasi	打落
aasj	打壓
aasj	憨厚
aaso	指揮若定
aaso	振振有词
aaso	指挥若定
aasr	振振有辞
aass	摂
aast	掩耳盗铃
aast	打进
aasu	振振有詞
aasv	打动
aasv	打药
aasv	𭠢
aasw	打散
aasx	𢮮
aasy	亚热带
aata	攝氏
aata	打昏
aata	摄氏
aatb	打岔
aatb	打分
aatc	摇摇欲墜
aatc	搖搖欲墜
aatc	摇摇欲坠
aatd	七扭八歪
aatd	打针
aatf	打印
aatf	招聘會
aati	七拼八湊
aato	耳聽八方
aatq	打铁
aats	七拼八凑
aats	招聘会
aatt	打坐
aatt	打铃
aatu	打手
aau	搢
aaua	敢言
aaue	挜
aauf	拉丁語
aaug	打拳
aaug	𢵑
aaui	拉丁美洲
aauj	打单
aauj	搢
aauj	搢
aauk	打赢
aaul	打贏
aaum	打贏
aauo	打火
aauo	𬋇
aaur	打浆
aaus	敢講
aaut	打底
aaut	敢說
aauu	打烊
aauu	打譜
aauw	打炮
aauy	𭡵
aav	拣
aavh	打结
aavi	𪭝
aavp	打退
aavq	打響
aavv	打斷
aavw	憨態
aavx	打孔
aavy	打给
aawb	攝錄
aawc	打包
aawd	打針
aawd	打鐵
aawf	打殺
aawf	打杀
aawg	攝生
aawg	摄生
aawk	攝製
aawk	摄制
aawl	打造
aawn	㼗
aawo	㧚
aawp	打進
aawq	拣选
aawt	打鈴
aawu	打勝
aawv	打胎
aaww	提取物
aaww	打胜
aax	扽
aaxb	打发
aaxg	瓲
aaxi	𢬴
aaxi	𦕿
aaxi	𬼙
aaxj	撍
aaxk	摄录
aaxk	𫽫
aaxl	打架
aaxm	𰔫
aaxw	打漿
aaxx	打出
aayf	打杂
aayh	敢情
aayq	𠖙
aayq	𢲠
