char,division,code,region
的,白月丶,EWOd,GB2312
一,一,Fi,GB2312
了,了,Vl,GB2312
是,日一龰,JFNh,GB2312
不,不,Du,GB2312
我,丿扌戈,QAGg,GB2312
在,𠂇丨土,SMHv,GB2312
人,人,Te,GB2312
有,𠂇月,SWvu,GB2312
这,文辶,PPoe,GB2312
他,亻也,ECy,GB2312
来,一米,FPmi,GB2312
个,人丨,TMse,GB2312
你,亻冖小,EYMa,GB2312
说,讠丷口儿,OULQ,GB2312
上,上,Ks,GB2312
到,至刂,HMdk,GB2312
就,亠口小尤,OLMD,GB2312
着,羊目,UMvg,GB2312
大,大,Gd,GB2312
们,亻门,EPn,GB2312
道,丷自辶,UTPo,GB2312
那,刀二阝,BSCf,GB2312
么,丿厶,QVvp,GB2312
也,也,Cy,GB2312
地,土也,HCy,GB2312
子,子,Bi,GB2312
下,丅丶,AOdk,GB2312
出,屮屮,XXcc,GB2312
时,日寸,JAc,GB2312
看,手目,TMvu,GB2312
要,西女,DCvi,GB2312
她,女也,CCy,GB2312
中,口丨,LMs,GB2312
没,氵殳,IQh,GB2312
然,月犬灬,WSUi,GB2312
里,甲二,KSra,GB2312
为,二力,SXlr,GB2312
过,寸辶,APoc,GB2312
自,自,Tk,GB2312
好,女子,CBi,GB2312
得,彳日一寸,RJFA,GB2312
去,土厶,HVv,GB2312
可,丁口,ALvn,GB2312
会,人二厶,TSVv,GB2312
天,一大,FGdi,GB2312
还,不辶,DPou,GB2312
心,心,Yv,GB2312
后,斤一口,EFLv,GB2312
以,乚丶人,XOTe,GB2312
小,小,Ma,GB2312
都,土日阝,HJCf,GB2312
和,禾口,RLvh,GB2312
对,又寸,BAcu,GB2312
想,木目心,FMYv,GB2312
能,厶月匕匕,VWRR,GB2312
起,走己,DBjk,GB2312
之,之,Ok,GB2312
手,手,Tu,GB2312
而,而,Se,GB2312
只,口八,LTb,GB2312
生,生,Wg,GB2312
什,亻十,EDh,GB2312
身,身,We,GB2312
头,二大,SGdr,GB2312
样,木羊,FUg,GB2312
事,{于下}口彐,ALXv,GB2312
多,夕夕,RRkk,GB2312
己,己,Bj,GB2312
家,宀豕,ODs,GB2312
面,面,Gi,GB2312
知,矢口,QLvi,GB2312
开,一艹,FSvi,GB2312
如,女口,CLv,GB2312
无,一尤,FDoi,GB2312
现,王见,GKx,GB2312
很,彳艮,RVnc,GB2312
点,卜口灬,MLUi,GB2312
前,丷月刂,UWMd,GB2312
发,乚夂丶,XEOd,GB2312
经,纟又工,VBFo,GB2312
情,心龶月,YHWv,GB2312
把,扌巴,ACa,GB2312
老,土匕,HRi,GB2312
些,止匕二,NRSr,GB2312
话,讠舌,ORea,GB2312
已,已,Vy,GB2312
又,又,Bu,GB2312
声,士尸,HBhh,GB2312
意,立日心,IJYv,GB2312
于,一{于下},FAui,GB2312
回,囗口,NLvw,GB2312
笑,竹夭,QEo,GB2312
所,户斤,OEih,GB2312
但,亻日一,EJFi,GB2312
眼,目艮,MVn,GB2312
成,戊乙,DViw,GB2312
方,方,Og,GB2312
年,竹扌,QAv,GB2312
见,见,Kx,GB2312
当,小彐,MXva,GB2312
女,女,Cv,GB2312
真,十且八,DMTb,GB2312
两,一冂人人,FKTT,GB2312
力,力,Xl,GB2312
气,气,Qq,GB2312
从,人人,TTee,GB2312
用,用,Tn,GB2312
长,长,Th,GB2312
动,二厶力,SVXl,GB2312
间,门日,PJvn,GB2312
国,囗王丶,NGOd,GB2312
走,走,Dk,GB2312
让,讠上,OKsa,GB2312
被,衤皮,PVpk,GB2312
给,纟合,VYes,GB2312
正,一止,FNii,GB2312
问,门口,PLvn,GB2312
打,扌丁,AAn,GB2312
明,日月,JWv,GB2312
儿,儿,Qr,GB2312
法,氵土厶,IHVv,GB2312
才,{于下}丿,AQpu,GB2312
几,几,Qj,GB2312
行,彳亍,RAhc,GB2312
三,三,Fn,GB2312
定,宀一龰,OFNh,GB2312
此,止匕,NRii,GB2312
进,二八辶,STPo,GB2312
再,王冂,GKg,GB2312
种,禾口丨,RLMs,GB2312
将,丬夕寸,URAc,GB2312
实,宀二大,OSGd,GB2312
同,冂一口,KFLv,GB2312
最,日耳又,JABu,GB2312
本,木一,FFi,GB2312
向,向,Rg,GB2312
分,八刀,TBab,GB2312
十,十,Dh,GB2312
学,氵冖子,IYBi,GB2312
高,高,Pg,GB2312
第,竹弓丨丿,QVMQ,GB2312
感,戊一口心,DFLY,GB2312
怎,竹卜心,QMYv,GB2312
神,礻申,UKes,GB2312
听,口斤,LEi,GB2312
边,力辶,XPol,GB2312
作,亻竹卜,EQMo,GB2312
其,其,Dq,GB2312
吧,口巴,LCa,GB2312
却,土厶卩,HVXj,GB2312
口,口,Lv,GB2312
觉,氵冖见,IYKx,GB2312
啊,口阝丁口,LCAL,GB2312
因,囗大,NGdw,GB2312
白,白,Eb,GB2312
次,二欠,SEqr,GB2312
军,冖车,YHcm,GB2312
做,亻古夂,EDEh,GB2312
外,夕卜,RMok,GB2312
门,门,Pn,GB2312
光,小兀,MHwa,GB2312
风,几乂,QWaj,GB2312
主,丶王,OGvd,GB2312
住,亻丶王,EOGv,GB2312
果,日木,JFv,GB2312
与,丂一,SFio,GB2312
全,人王,TGve,GB2312
二,二,Sr,GB2312
候,亻丨又矢,EMBQ,GB2312
公,八厶,TVvb,GB2312
相,木目,FMv,GB2312
吗,口马,LXa,GB2312
等,竹土寸,QHAc,GB2312
别,口力刂,LXMd,GB2312
色,冖巴,YCam,GB2312
死,歹匕,DRid,GB2312
张,弓长,VTho,GB2312
部,立口阝,ILCf,GB2312
太,大丶,GOdd,GB2312
日,日,Jv,GB2312
少,小丿,MQpa,GB2312
战,卜口戈,MLGg,GB2312
