char,division,code,quick_simp,quick_trad,region,details
一,一,Fiƒ,f,f,GB2312,
丁,丁,Anƒ,an,an,GB2312,
七,七,Aiƒ,ai,ai,GB2312,
万,乙,DVi,,,GB2312,{丆同石}乙
丈,乀,SOdu,so,so,GB2312,{右頭}乀
三,三,Fnƒ,,fn,GB2312,
上,上,Ksƒ,k,k,GB2312,
下,下,Akƒ,ak,ak,GB2312,
丌,丌,Ajƒ,,,GB2312,
不,不,Duƒ,d,d,GB2312,
与,丂一,SFik,sf,,GB2312,
丐,丅一乚,AFXi,,,GB2312,
丑,丑,Bcƒ,bc,,GB2312,
专,二乚丶,SXOd,,,GB2312,
且,且,Mqƒ,,,GB2312,
丕,不一,DFiu,dfi,,GB2312,
世,世,Hiƒ,hi,hi,GB2312,
丘,亻工,EFo,,,GB2312,
丙,一冂人,FKTe,fkt,fkt,GB2312,
业,〢䒑,NUhs,nu,nuh,GB2312,
丛,人人一,TTFi,ttf,ttf,GB2312,
东,七小,AMai,am,ama,GB2312,
丝,纟,VVss,vvs,vvs,GB2312,{纟上同纟}纟
丞,乙水一,VKFi,vkf,vkf,GB2312,
丢,壬厶,EVve,evv,evv,GB2312,
两,一冂人人,FKTT,fk,,GB2312,
严,丌䒑丿,AUQp,auq,auq,GB2312,
丧,十丷,DUGf,dug,dug,GB2312,十丷{畏下同匚}
丨,丨,Nsƒƒ,,,GB2312,
个,人丨,TNse,tns,tns,GB2312,
丫,丷丨,UNsh,uns,uns,GB2312,
丬,丬,Uhƒƒ,,,GB2312,
中,口丨,LNs,l,l,GB2312,
丰,丰,Dnƒ,,,GB2312,
串,口口丨,LLNs,lln,lln,GB2312,
临,〢日,NQJv,nqj,nqj,GB2312,〢{⺮右同竹}日
丶,丶,Odƒ,,,GB2312,
丸,九丶,YOdj,,yod,GB2312,
丹,亠,WOv,wo,wo,GB2312,{⺆同月}亠
为,丶力丶,OXOd,oox,,GB2312,
主,丶王,OGvd,ogv,ogv,GB2312,
丽,一冂冂,FKKg,fkk,fkk,GB2312,一{冂丶同冂}{冂丶同冂}
举,ッ一八,IFTA,,,GB2312,{三點同氵}一八キ
丿,丿,Qpƒ,,,GB2312,
乃,乃,Vaƒ,va,va,GB2312,
久,冖丶,YOdm,yod,yo,GB2312,
乇,丿七,QAip,,,GB2312,
么,丿厶,QVvp,qvv,qvv,GB2312,
义,丶乂,OWad,owa,owa,GB2312,
之,之,Okƒ,ok,ok,GB2312,
乌,乌,Ewƒ,,,GB2312,
乍,,QMo,,,GB2312,{丿一同竹}{乍下同卜}
乎,丿丷,QUAu,qua,qu,GB2312,丿丷{于下}
乏,丿之,QOkp,qok,qok,GB2312,
乐,小,TMaa,tma,tma,GB2312,{乐上同卯}小
乒,亻工丿,EFQp,,,GB2312,
乓,亻工丶,EFOd,,,GB2312,
乔,夭,ETbo,etb,,GB2312,夭{介下同八}
乖,千丬匕,WURi,wur,wur,GB2312,
乘,禾丬匕,RURi,,,GB2312,
