代码,汉字,div,division,newcode,yuhao,region
U+20B0D,𠬍,厶八夊尢,厶八夊儿,VvTiEhDo,VvTiEhQr,CJK-B
U+20CC6,𠳆,𰀁戈口,戈口,AoGgLv,GgAoLv,CJK-B
U+20D3A,𠴺,口{向框}㐅兀,口乂儿,LvRnWlHw,LvRnWlQr,CJK-B
U+20D67,𠵧,厂丅{畏下}口,厂工乚口,ShAkGfLv,ShFoXiLv,CJK-B
U+20DC3,𠷃,口穴𠆢又,口宀火又,LvPxTeBu,LvObUoBu,CJK-B
U+20DCD,𠷍,口⼹氺𠃊,口乚彐水,LvXlKvXi,LvXiXlKv,CJK-B
U+20DED,𠷭,口丂口凵,口凵丂又,LvSkLvXg,LvXgSkBu,CJK-B
U+20FD0,𠿐,口日罒方,口日罒勹,LvJrMwOg,LvJrMwWy,CJK-B
U+20FFD,𠿽,口𠕁一甫,口冊甫,LvNcFiFu,LvNcFu,CJK-B
U+21070,𡁰,口糹口⺝,口糹乚月,LvBsLvWy,LvBsXiWy,CJK-B
U+21193,𡆓,口⺌𠃊白,口乚小白,LvMaXiEb,LvXiMaEb,CJK-B
U+212C1,𡋁,土䒑巾,土丷一巾,HtUeMv,HtUeFiMv,CJK-B
U+21351,𡍑,人凵水土,凵人水土,TeXgKvHt,XgTeKvHt,CJK-B
U+2142A,𡐪,丨二𠃊土,亅一乚土,NsSiXiHt,ViFiXiHt,CJK-B
U+21466,𡑦,土日罒方,土日罒勹,HtJrMwOg,HtJrMwWy,CJK-B
U+214BF,𡒿,戶ココ土,丿丨コ土,IeBuBuHt,QpNsBuHt,CJK-B
U+214EC,𡓬,戶ココ土,丿丨コ土,IeBuBuHt,QpNsBuHt,CJK-B
U+2158D,𡖍,亠{帅左}乀夕,亠丿人夕,ObUeOdRk,ObQpTeRk,CJK-B
U+215BD,𡖽,夕夕𠂉𠃊,夕夕𠂉目,RkRkQkXi,RkRkQkMf,CJK-B
U+2165E,𡙞,大{黽上}{亞下},大コ,GdLvJa,GdTmBuJa,CJK-B
U+2178A,𡞊,女夭火,女禾火,CnEoUo,CnRhUo,CJK-B
U+217E4,𡟤,女口𠃊目,女乚口目,CnLvXiMf,CnXiLvMf,CJK-B
U+2184E,𡡎,女口十女,女口一女,CnLvDiCn,CnLvFiCn,CJK-B
U+2188C,𡢌,女穴⺝八,女穴乚八,CnPxWyTi,CnPxXiTi,CJK-B
U+2189A,𡢚,女日罒方,女日罒勹,CnJrMwOg,CnJrMwWy,CJK-B
U+2190E,𡤎,女⺈口尢,女⺈口儿,CnYmLvDo,CnYmLvQr,CJK-B
U+21962,𡥢,子不凵,子凵不,VkDuXg,VkXgDu,CJK-B
U+21A1C,𡨜,宀丶廾{灬丶},宀丶卄丶,ObOdSjIs,ObOdSjOd,CJK-B
U+21A47,𡩇,宀目𠃊𫶧,宀乚目,ObMfXiQr,ObXiMfQr,CJK-B
U+21CFF,𡳿,丄𠃊丨一,丄乚亅,KsXiNsFi,KsXiVi,CJK-B
U+21E2C,𡸬,山戶ココ,山丿丨コ,JsIeBuBu,JsQpNsBu,CJK-B
U+21E8E,𡺎,山⺈𫩏⺀,山⺈口⺀,JsYmJrSi,JsYmLvSi,CJK-B
U+21F4F,𡽏,山而⺈尢,山而⺈儿,JsSrYmDo,JsSrYmQr,CJK-B
U+21F8D,𡾍,山人人丨,山人日八,JsTeTeNs,JsTeJrTi,CJK-B
U+21FE2,𡿢,山𠂤止尢,山𠂤止儿,JsYdNiDo,JsYdNiQr,CJK-B
U+2203A,𢀺,夫凵巳,凵夫巳,GuXgCk,XgGuCk,CJK-B
U+22044,𢁄,二丨矢巳,一亅矢巳,SiNsQiCk,FiViQiCk,CJK-B
U+2211B,𢄛,巾弓コ口,巾弓工白,MvVgBuLv,MvVgFoEb,CJK-B
U+221B8,𢆸,幺幺𠃊,乚幺幺,VoVoXi,XiVoVo,CJK-B
U+22374,𢍴,𦣞𦣞廾,匚丨口卄,ScScSj,GfNsLvSj,CJK-B
U+223E9,𢏩,弓囗𰀪𠃊,乚弓囗丶,VgNwToXi,XiVgNwOd,CJK-B
U+22543,𢕃,彳口𠃊耳,彳乚口耳,RcLvXiAr,RcXiLvAr,CJK-B
U+2263C,𢘼,𠕁一心,冊心,NcFiYi,NcYi,CJK-B
U+22666,𢙦,亻コ㐅心,丿乂凵心,EeBuWlYi,QpWlXgYi,CJK-B
U+22716,𢜖,亠冂口心,亠乚冂心,ObKfLvYi,ObXiKfYi,CJK-B
U+22800,𢠀,亠丷冂心,乚亠丷心,ObUeKfYi,XiObUeYi,CJK-B
U+22894,𢢔,忄日罒方,忄日罒勹,YiJrMwOg,YiJrMwWy,CJK-B
U+229EC,𢧬,𰀁戈山日,戈山日,AoGgJsJr,GgAoJsJr,CJK-B
