char,division,code,division_tw,code_tw,region
一,一,Fi,,,CJK
丁,丁,Cd,,,CJK
丂,丂,Sk,,,CJK
七,七,Gq,,,CJK
丄,丄,Os,,,CJK
丅,丅,Cx,,,CJK
丆,丆,Vh,,,CJK
万,一勹,FIb,,,CJK
丈,乀,XId,,,CJK
三,三,Ys,,,CJK
上,上,Os,,,CJK
下,下,Cx,,,CJK
丌,丌,Oj,,,CJK
不,不,Nb,,,CJK
与,丂一,SFi,,,CJK
丏,丅乚㇆,CTOi,,,CJK
丐,丅一㇉,CFTi,,,CJK
丑,丑,Ec,,,CJK
丒,刀丶一,JIFi,,,CJK
专,二㇉丶,ATId,,,CJK
且,且,Eq,,,CJK
丕,不一,NFi,,,CJK
世,世,Ls,,,CJK
丗,卅一,DFi,,,CJK
丘,斤一,LFi,,,CJK
丙,一冂人,FQUr,,,CJK
业,业,Vi,,,CJK
丛,人人一,UUFi,,,CJK
东,七小,GIx,,,CJK
丝,一,OOFi,,,CJK
丞,乛水一,ONFi,,,CJK
丟,王厶,YDm,,,CJK
丠,丬匕一,OBFi,,,CJK
両,一冂山,FQJs,,,CJK
丢,壬厶,NDm,,,CJK
丣,丌匚コ,OTEk,,,CJK
两,一冂人人,FQUU,,,CJK
严,一业丿,FVWp,,,CJK
並,䒑业,LVi,,,CJK
丧,十丷,RLLv,,,CJK
丨,丨,Ls,,,CJK
丩,丩,Jj,,,CJK
个,人丨,ULs,,,CJK
丫,丷丨,LLs,,,CJK
丬,丬,Oq,,,CJK
中,口丨,KLs,,,CJK
丮,乙,OAk,,,CJK
丯,彡丨,WLs,,,CJK
丰,丰,Qf,,,CJK
丱,丱,Jg,,,CJK
串,口口丨,KKLs,,,CJK
丳,口口,KKRj,,,CJK
临,〢,LGJr,,,CJK
丵,业䒑十,VLRs,,,CJK
丶,丶,Id,,,CJK
丷,丷,Lb,,,CJK
丸,九丶,FId,,,CJK
丹,亠,IRt,,,CJK
为,丶力丶,ISId,,,CJK
主,丶王,IYw,,,CJK
丼,廾亠,DRt,,,CJK
丽,一,FQQj,一一,FQFQ,CJK
举,八,IMAk,,,CJK
丿,丿,Wp,,,CJK
乀,乀,Id,,,CJK
乁,乁,Oi,,,CJK
乂,乂,Ci,,,CJK
乃,乃,Rn,,,CJK
乄,亅丶,OId,,,CJK
久,⺈丶,OId,,,CJK
乆,乚人,TUr,,,CJK
乇,丿七,WGq,,,CJK
么,丿厶,WDm,,,CJK
义,丶乂,ICi,,,CJK
乊,丿丷,WLb,,,CJK
之,之,Kz,,,CJK
乌,乌,Xw,,,CJK
乍,𠂉,GUb,,,CJK
乎,丿丷,WLEm,,,CJK
乏,丿之,WKz,,,CJK
乐,小,JIx,,,CJK
乑,亻,EWAe,,,CJK
乒,斤一丿,LFWp,,,CJK
乓,斤一丶,LFId,,,CJK
乔,夭,HRj,,,CJK
乕,⺁二巾,HARj,,,CJK
乖,千丬匕,JOBb,,,CJK
乗,禾龷,GDc,,,CJK
乘,禾丬匕,GOBb,,,CJK
乙,乙,Oi,,,CJK
乚,乚,Ti,,,CJK
乛,乛,Oi,,,CJK
乜,乜,Em,,,CJK
九,九,Fj,,,CJK
乞,𠂉乙,GOi,,,CJK
也,也,Ei,,,CJK
习,习,Kx,,,CJK
乡,丿,OWp,,,CJK
乢,山乚,JTi,,,CJK
乣,幺乚,JTi,,,CJK
乤,下乙,COi,,,CJK
乥,丿丷乙,WLOi,,,CJK
书,乛㇆丨丶,OOLI,,,CJK
乧,⺀十乙,AROi,,,CJK
乨,厶口乚,DKTi,,,CJK
乩,卜口乚,UKTi,,,CJK
乪,乙田,OSt,,,CJK
乫,力口乙,SKOi,,,CJK
乬,匚コ乙,TEOi,,,CJK
乭,石乙,QOi,,,CJK
乮,卯乙,JOi,,,CJK
乯,丿丷乙,WLEO,,,CJK
买,乛⺀大,OAMd,,,CJK
乱,舌乚,BTi,,,CJK
乲,冫欠乙,AHOi,二欠乙,AHOi,CJK
乳,爫子乚,VLTi,,,CJK
乴,扌斤乙,FLOi,,,CJK
乵,辛乚,JTi,,,CJK
乶,甫乙,AOi,,,CJK
乷,氵小丿乙,NIWO,,,CJK
乸,也母,EQm,,,CJK
乹,十早乚,RJTi,,,CJK
乺,戶斤乙,WLOi,,,CJK
乻,方人⺀乙,IUAO,,,CJK
乼,氵丶王乙,NIYO,,,CJK
乽,耂日乙,HJOi,,,CJK
乾,十早𠂉乙,RJGO,,,CJK
乿,爫糸乚,VUTi,,,CJK
亀,⺈日电,OJHd,,,CJK
亁,十日干乙,RJAO,,,CJK
亂,爫マ冂乚,VDQT,,,CJK
亃,米夕ヰ乚,TYAT,,,CJK
亄,士冖一乚,HOFT,,,CJK
亅,亅,Oi,,,CJK
了,了,Ll,,,CJK
亇,⺈亅,OOi,𠂉亅,GOi,CJK
予,予,Lv,,,CJK
争,⺈彐亅,OVOi,,,CJK
亊,丷彐,ELVj,,,CJK
事,口彐,EKVj,,,CJK
二,二,Ae,,,CJK
亍,亍,Oc,,,CJK
于,一,FEm,,,CJK
亏,一丂,FSk,,,CJK
亐,二㇉,ATi,,,CJK
云,二厶,ADm,,,CJK
互,一彑,FQj,,,CJK
亓,一丌,FOj,,,CJK
五,一,FAw,,,CJK
井,二,ARj,,,CJK
亖,二二,AAe,,,CJK
亗,山二,JAe,,,CJK
亘,一日一,FJFi,,,CJK
亙,一一,FYFi,,,CJK
亚,一业,FVi,,,CJK
些,止匕二,NBAe,,,CJK
亜,丌口一,OKFi,,,CJK
亝,厶厶厶二,DDDA,,,CJK
亞,一,FEi,,,CJK
亟,了口又一,LKDF,丂口又一,SKDF,CJK
亠,亠,Rt,,,CJK
亡,亡,Uw,,,CJK
亢,亠几,RSj,,,CJK
亣,丶丌,IOj,,,CJK
交,亠八乂,RMCi,,,CJK
亥,亥,Rh,,,CJK
亦,亦,Yi,,,CJK
产,立丿,WWp,,,CJK
亨,了,DLl,,,CJK
亩,亠田,RSt,,,CJK
亪,亦乁,YOi,,,CJK
享,子,DLz,,,CJK
京,小,DIx,,,CJK
亭,丁,DCd,,,CJK
亮,几,DSj,儿,DEe,CJK
亯,日,DJr,,,CJK
亰,亠日小,RJIx,,,CJK
亱,亠亻日一,REJF,,,CJK
亲,立木,WAm,,,CJK
亳,丿七,DWGq,,,CJK
亴,土九,DHFj,九,DAFj,CJK
亵,亠扌九𧘇,RFFS,,,CJK
亶,亠囗口一,RBKF,,,CJK
亷,立丿彐八,WWVM,,,CJK
亸,子丷十,DLLR,,,CJK
亹,亠臼冂且,RIQE,亠冂一且,RQFE,CJK
人,人,Ur,,,CJK
亻,亻,Er,,,CJK
亼,人一,UFi,,,CJK
亽,人丶,UId,,,CJK
亾,人乚,UTi,,,CJK
亿,亻乙,EOi,,,CJK
什,亻十,ERs,,,CJK
仁,亻二,EAe,,,CJK
仂,亻力,ESl,,,CJK
仃,亻丁,ECd,,,CJK
仄,厂人,VUr,,,CJK
仅,亻又,EDi,,,CJK
仆,亻卜,EUb,,,CJK
仇,亻九,EFj,,,CJK
仈,亻八,EMb,,,CJK
仉,亻几,ESj,,,CJK
今,人丶乛,UIOi,人一乛,UFOi,CJK
介,人,URj,,,CJK
仌,人人,UUr,,,CJK
仍,亻乃,ERn,,,CJK
从,人人,UUr,,,CJK
仏,亻厶,EDm,,,CJK
仐,人十,URs,,,CJK
仑,人匕,UBb,,,CJK
仒,人⺀,UAe,,,CJK
仓,人㔾,UEj,,,CJK
仔,亻子,ELz,,,CJK
仕,亻士,EHs,,,CJK
他,亻也,EEi,,,CJK
仗,亻乀,EXId,,,CJK
付,亻寸,EHc,,,CJK
仙,亻山,EJs,,,CJK
仚,人山,UJs,,,CJK
仛,亻丿七,EWGq,,,CJK
仜,亻工,ENg,,,CJK
仝,人工,UNg,,,CJK
仞,亻刀丶,EJId,,,CJK
仟,亻千,EJq,,,CJK
仠,亻干,EAg,,,CJK
仡,亻𠂉乙,EGOi,,,CJK
仢,亻勹丶,EIId,,,CJK
代,亻弋,EKi,,,CJK
令,人丶マ,UIDi,人一マ,UFDi,CJK
以,乚丶人,TIUr,,,CJK
仦,亻小,EIx,,,CJK
仧,上人,OUr,,,CJK
仨,亻三,EYs,,,CJK
仩,亻上,EOs,,,CJK
仪,亻丶乂,EICi,,,CJK
仫,亻丿厶,EWDm,,,CJK
们,亻门,ERm,,,CJK
仭,亻刀乀,EJId,,,CJK
仮,亻⺁又,EHDi,亻厂又,EVDi,CJK
仯,亻小丿,EIWp,,,CJK
仰,亻卩,EJEj,,,CJK
仱,亻人丶乛,EUIO,亻人一乛,EUFO,CJK
仲,亻口丨,EKLs,,,CJK
仳,亻匕匕,EBBb,,,CJK
仴,亻月,EYv,,,CJK
仵,亻𠂉十,EGRs,,,CJK
件,亻牛,EPn,,,CJK
价,亻人,EURj,,,CJK
仸,亻夭,EHi,,,CJK
仹,亻丰,EQf,,,CJK
仺,人,UVj,,,CJK
任,亻壬,ENr,,,CJK
仼,亻王,EYw,,,CJK
份,亻八刀,EMJd,,,CJK
仾,亻一彑,EFQj,,,CJK
仿,亻方,EIf,,,CJK
伀,亻八厶,EMDm,,,CJK
企,人止,UNz,,,CJK
伂,亻一巾,EFRj,,,CJK
伃,亻予,ELv,,,CJK
伄,亻弓丨,EJLs,,,CJK
伅,亻七凵,EGJk,,,CJK
伆,亻勹,EIWs,,,CJK
伇,亻殳,ESs,,,CJK
伈,亻心,ENx,,,CJK
伉,亻亠几,ERSj,,,CJK
伊,亻彐丿,EVWp,,,CJK
伋,亻乃乀,ERId,亻丿乛又,EWOD,CJK
伌,亻厂㔾,EVEj,,,CJK
伍,亻一,EFAw,,,CJK
伎,亻十又,ERDi,,,CJK
伏,亻犬,EQq,,,CJK
伐,亻戈,EKg,,,CJK
休,亻木,EAm,,,CJK
伒,亻斤,ELj,,,CJK
伓,亻不,ENb,,,CJK
伔,亻冖几,EOSj,,,CJK
伕,亻夫,EMf,,,CJK
伖,亻又,EXDi,,,CJK
众,人人人,UUUr,,,CJK
优,亻尤,EQi,,,CJK
伙,亻火,EMh,,,CJK
会,人二厶,UADm,,,CJK
伛,亻匚乂,ETCi,,,CJK
伜,亻九十,EFRs,,,CJK
伝,亻二厶,EADm,,,CJK
伞,人丷十,ULRs,,,CJK
伟,亻㇆,EAOi,,,CJK
传,亻二㇉丶,EATI,,,CJK
伡,亻车,EGc,,,CJK
伢,亻牙,EXi,,,CJK
伣,亻见,EDj,,,CJK
伤,亻𠂉力,EGSl,,,CJK
伥,亻长,EKc,,,CJK
伦,亻人匕,EUBb,,,CJK
伧,亻人㔾,EUEj,,,CJK
伨,亻勹冫,EIAe,亻勹二,EIAe,CJK
伩,亻文,EEw,,,CJK
伪,亻丶力丶,EISI,,,CJK
伫,亻宀一,EIFi,,,CJK
伬,亻尸乀,ETId,,,CJK
伭,亻亠幺,ERJi,,,CJK
伮,亻女又,EWDi,,,CJK
伯,亻白,EDb,,,CJK
估,亻古,EOg,,,CJK
伱,亻人小,EUIx,,,CJK
伲,亻尸匕,ETBb,,,CJK
伳,亻世,ELs,,,CJK
伴,亻丷,ELAk,,,CJK
伵,亻囗儿,EBEe,,,CJK
伶,亻人丶マ,EUID,亻人一マ,EUFD,CJK
伷,亻由,EUi,,,CJK
伸,亻申,EIs,,,CJK
伹,亻且,EEq,,,CJK
伺,亻㇆一口,EOFK,,,CJK
伻,亻干丷,EALb,,,CJK
似,亻乚丶人,ETIU,,,CJK
伽,亻力口,ESKv,,,CJK
伾,亻不一,ENFi,,,CJK
伿,亻口八,EKMb,,,CJK
佀,亻尸コ,ETEk,亻丨ココ,ELEE,CJK
佁,亻厶口,EDKv,,,CJK
佂,亻一止,EFNz,,,CJK
佃,亻田,ESt,,,CJK
佄,亻卄二,EDAe,,,CJK
佅,亻未,EWw,,,CJK
但,亻日一,EJFi,,,CJK
佇,亻宀丁,EICd,,,CJK
佈,亻巾,EXRj,,,CJK
佉,亻土厶,EHDm,,,CJK
佊,亻皮,EGp,,,CJK
佋,亻刀口,EJKv,,,CJK
佌,亻止匕,ENBb,,,CJK
位,亻立,EWl,,,CJK
低,亻七丶,EJGI,亻七一,EJGF,CJK
住,亻丶王,EIYw,,,CJK
佐,亻工,EXNg,,,CJK
佑,亻口,EXKv,,,CJK
佒,亻冂大,EQMd,,,CJK
体,亻木一,EAFi,,,CJK
佔,亻卜口,EUKv,,,CJK
何,亻丁口,ECKv,,,CJK
佖,亻心丿,ENWp,,,CJK
佗,亻宀匕,EIBb,,,CJK
佘,人示,UCs,,,CJK
余,人一木,UFAm,,,CJK
佚,亻丿夫,EWMf,,,CJK
佛,亻弓,EJRj,,,CJK
作,亻𠂉,EGUb,,,CJK
佝,亻勹口,EIKv,,,CJK
佞,亻二女,EAWn,,,CJK
佟,亻夊⺀,ETAe,,,CJK
你,亻⺈小,EOIx,,,CJK
佡,亻人山,EUJs,,,CJK
佢,亻匚コ,ETEk,,,CJK
佣,亻用,EAi,,,CJK
佤,亻瓦,ENw,,,CJK
佥,人一,UFIx,,,CJK
佦,亻石,EQs,,,CJK
佧,亻上卜,EOUb,,,CJK
佨,亻勹巳,EIOs,,,CJK
佩,亻几一巾,ESFR,,,CJK
佪,亻囗口,EBKv,,,CJK
佫,亻夊口,ETKv,,,CJK
佬,亻耂匕,EHBb,,,CJK
佭,亻夊ヰ,ETAk,,,CJK
佮,亻合,ESh,,,CJK
佯,亻羊,EMi,,,CJK
佰,亻丆日,EVJr,,,CJK
佱,人二止,UANz,,,CJK
佲,亻夕口,EYKv,,,CJK
佳,亻土土,EHHt,,,CJK
佴,亻耳,ELe,,,CJK
併,亻䒑廾,ELDn,,,CJK
佶,亻士口,EHKv,,,CJK
佷,亻艮,EIg,,,CJK
佸,亻舌,EBs,,,CJK
佹,亻⺈厂㔾,EOVE,,,CJK
佺,亻人王,EUYw,亻入王,EIYw,CJK
佻,亻儿冫,EEAA,,,CJK
佼,亻亠八乂,ERMC,,,CJK
佽,亻冫欠,EAHq,亻二欠,EAHq,CJK
佾,亻八月,EMYv,,,CJK
使,亻一口乂,EFKC,,,CJK
侀,亻一廾刂,EFDO,,,CJK
侁,亻⺧儿,EPEe,,,CJK
侂,亻广丿七,EUWG,,,CJK
侃,亻口,EKEe,,,CJK
侄,亻至,EUz,,,CJK
侅,亻亥,ERh,,,CJK
來,來,Cl,,,CJK
侇,亻大弓,EMJg,,,CJK
侈,亻夕夕,EYYx,,,CJK
侉,亻大一丂,EMFS,,,CJK
侊,亻小兀,EIOw,,,CJK
例,亻一夕刂,EFYO,,,CJK
侌,人丶乛厶,UIOD,人一乛厶,UFOD,CJK
侍,亻土寸,EHHc,亻士寸,EHHc,CJK
侎,亻米,ETm,,,CJK
侏,亻牛八,EPMb,,,CJK
侐,亻丿皿,EWXm,,,CJK
侑,亻月,EXYv,,,CJK
侒,亻宀女,EIWn,,,CJK
侓,亻彐,EVAk,,,CJK
侔,亻厶牛,EDPn,,,CJK
侕,亻而,EKe,,,CJK
侖,人一冊,UFPc,,,CJK
侗,亻冂一口,EQFK,,,CJK
侘,亻宀丿七,EIWG,,,CJK
侙,亻弋工,EKNg,,,CJK
侚,亻勹日,EIJr,,,CJK
供,亻龷八,EDMb,,,CJK
侜,亻舟,EOz,,,CJK
依,亻亠𧘇,ERSi,,,CJK
侞,亻女口,EWKv,,,CJK
侟,亻丨子,EXLL,,,CJK
侠,亻夫丷,EMLb,,,CJK
価,亻覀,ELx,,,CJK
侢,亻一冂土,EFQH,,,CJK
侣,亻口口,EKKv,,,CJK
侤,亻耂丂,EHSk,,,CJK
侥,亻七丿兀,EGWO,,,CJK
侦,亻卜贝,EUFb,,,CJK
侧,亻贝刂,EFOd,,,CJK
侨,亻夭,EHRj,,,CJK
侩,亻人二厶,EUAD,,,CJK
侪,亻文,EERj,,,CJK
侫,亻亡女,EUWn,,,CJK
侬,亻冖𧘇,EOSi,,,CJK
侭,亻尸乀⺀,ETIA,,,CJK
侮,亻𠂉母,EGQm,,,CJK
侯,亻ユ矢,EEMs,,,CJK
侰,亻彐丿口,EVWK,,,CJK
侱,亻口王,EKYw,亻口壬,EKNr,CJK
侲,亻辰,ELc,,,CJK
侳,亻人人土,EUUH,,,CJK
侴,人一丑刂,UFEO,,,CJK
侵,亻彐冖又,EVOD,,,CJK
侶,亻口,EKOv,,,CJK
侷,亻尸㇆口,ETOK,,,CJK
侸,亻一口䒑,EFKL,,,CJK
侹,亻壬廴,ENGi,,,CJK
侺,亻山人乛,EJUO,,,CJK
侻,亻丷口儿,ELKE,亻八口儿,EMKE,CJK
侼,亻十冖子,EROL,,,CJK
侽,亻田力,ESSl,,,CJK
侾,亻耂子,EHLz,,,CJK
便,亻一日乂,EFJC,,,CJK
俀,亻爫女,EVWn,,,CJK
俁,亻口㇉大,EKTM,,,CJK
係,亻丿糸,EWUs,,,CJK
促,亻足,EXz,,,CJK
俄,亻丿扌戈,EWFK,,,CJK
俅,亻一水丶,EFNI,,,CJK
俆,亻人一木,EUFA,,,CJK
俇,亻犭王,EQYw,,,CJK
俈,亻⺧口,EPKv,,,CJK
俉,亻一口,EFAK,,,CJK
俊,亻厶八夊,EDMT,亻厶儿夊,EDET,CJK
俋,亻口巴,EKOb,,,CJK
俌,亻甫,EAf,,,CJK
俍,亻丶艮,EIIg,,,CJK
俎,人人且,UUEq,,,CJK
俏,亻小月,EIYv,,,CJK
俐,亻禾刂,EGOd,,,CJK
俑,亻マ用,EDAi,,,CJK
俒,亻宀一兀,EIFO,,,CJK
俓,亻一巛工,EFFN,,,CJK
俔,亻見,EGj,,,CJK
俕,亻宀木,EIAm,,,CJK
俖,亻不口,ENKv,,,CJK
俗,亻八人口,EMUK,,,CJK
俘,亻爫子,EVLz,,,CJK
俙,亻乂巾,ECXR,,,CJK
俚,亻里,EEl,,,CJK
俛,亻⺈口儿,EOKE,,,CJK
俜,亻由丂,EUSk,,,CJK
保,亻口木,EKAm,,,CJK
俞,人一月刂,UFYO,,,CJK
俟,亻厶矢,EDMs,,,CJK
俠,亻大人人,EMUU,,,CJK
信,亻言,ERi,,,CJK
俢,亻夊彡,ETWs,,,CJK
俣,亻口一大,EKFM,,,CJK
俤,亻丷弓丿,ELJW,,,CJK
俥,亻車,EXc,,,CJK
俦,亻丰寸,EQHc,,,CJK
俧,亻士心,EHNx,,,CJK
俨,亻一业丿,EFVW,,,CJK
俩,亻一冂人,EFQU,,,CJK
俪,亻一,EFQQ,,,CJK
俫,亻一米,EFTm,,,CJK
俬,亻禾厶,EGDm,,,CJK
俭,亻人一,EUFI,,,CJK
修,亻丨夊彡,ELTW,,,CJK
俯,亻广亻寸,EUEH,,,CJK
俰,亻禾口,EGKv,,,CJK
俱,亻八,EEMb,,,CJK
俲,亻亠八力,ERMS,,,CJK
俳,亻非,EFf,,,CJK
俴,亻戈戈,EKKg,,,CJK
俵,亻龶𧘇,EHSi,,,CJK
