一	〔一・Fiƒ〕
丁	〔丁・Anƒ〕
七	〔七・Aiƒ〕
万	〔一{⼓同月}・FWvi〕
丈	〔{右上}乀・SOd〕
三	〔三・Faƒ〕
上	〔上・Ksƒ〕
下	〔下・Akƒ〕
丌	〔丌・Ajƒ〕
不	〔不・Duƒ〕
与	〔丂一・SFik〕
丐	〔丅一{逆折同乚}・AFXi〕
丑	〔丑・Bcƒ〕
专	〔二{逆折同乚}丶・SXOd〕
且	〔且・Miƒ〕
丕	〔不一・DFiu〕
世	〔世・Hiƒ〕
丘	〔亻工・EFo〕
丙	〔一冂人・FKTe〕
业	〔〢䒑・NUhs〕
丛	〔人人一・TTFi〕
东	〔七小・AMai〕
丝	〔纟{纟上同纟}・VVss〕
丞	〔{顺折同乙}水一・VKFi〕
丢	〔壬厶・EVve〕
两	〔一冂人人・FKTT〕
严	〔丌䒑丿・AUQp〕
丧	〔十丷{畏下同匚}・DUGf〕
丨	〔丨・Nsƒƒ〕
个	〔人丨・TNse〕
丫	〔丷丨・UNsh〕
丬	〔丬・Uhƒƒ〕
中	〔口丨・LNs〕
丰	〔丰・Dnƒ〕
串	〔口口丨・LLNs〕
临	〔〢{⺮右同竹}日・NQJv〕
丶	〔丶・Odƒ〕
丸	〔九丶・YOdj〕
丹	〔{⺆同月}亠・WOv〕
为	〔丶力丶・OXOd〕
主	〔丶王・OGvd〕
丽	〔一{冂丶同冂}{冂丶同冂}・FKKg〕
举	〔{三點同氵}一八キ・IFTA〕
丿	〔丿・Qpƒ〕
乃	〔乃・Vaƒ〕
久	〔冖丶・YOd〕
乇	〔丿七・QAip〕
么	〔丿厶・QVvp〕
义	〔丶乂・OWad〕
之	〔之・Pcƒ〕
乌	〔乌・Ewƒ〕
乍	〔{丿一同竹}{乍下同卜}・QMo〕
乎	〔丿丷{于下}・QUAu〕
乏	〔丿之・QPcp〕
乐	〔{乐上同卯}小・TMaa〕
乒	〔亻工丿・EFQp〕
乓	〔亻工丶・EFOd〕
乔	〔夭{介下同八}・ETbo〕
乖	〔千丬匕・WURi〕
乘	〔禾丬匕・RURi〕
乙	〔乙・Viƒ〕
乜	〔{乜同也}・Cyƒƒ〕
九	〔九・Yjƒ〕
乞	〔{丿一同竹}乙・QVi〕
也	〔也・Cyƒ〕
习	〔{习同羽}・Xuƒƒ〕
乡	〔{纟上同纟}丿・VQps〕
书	〔{顺折同乙}{顺折同乙}丨丶・VVNO〕
乩	〔卜口{逆折同乚}・MLXi〕
买	〔{顺折同乙}{两点同二}大・VSGd〕
乱	〔舌{逆折同乚}・RXie〕
乳	〔爪子{逆折同乚}・EVXi〕
乾	〔十早{丿一同竹}乙・DJQV〕
了	〔了・Vlƒ〕
予	〔予・Cuƒ〕
争	〔冖彐{顺折同乙}・YXVi〕
事	〔{于下}口彐・ALXv〕
二	〔二・Seƒ〕
亍	〔亍・Ahƒ〕
于	〔一{于下}・FAui〕
亏	〔一丂・FSki〕
云	〔二厶・SVve〕
互	〔二{互中同母}・SBme〕
亓	〔一丌・FAji〕
五	〔一{五下同韋}・FCii〕
井	〔二{介下同八}・STbe〕
亘	〔二日・SJve〕
亚	〔丌䒑・AUhj〕
些	〔止匕二・NRSe〕
亟	〔了口又一・VLBF〕
亠	〔亠・Ovƒƒ〕
亡	〔亡・Uwƒ〕
亢	〔亠几・OQj〕
交	〔亠八乂・OTWa〕
亥	〔亥・Oiƒ〕
亦	〔亦・Piƒ〕
产	〔立丿・IQpi〕
亨	〔亠口了・OLVl〕
亩	〔亠田・OJt〕
享	〔亠口子・OLVk〕
京	〔亠口小・OLMa〕
亭	〔亠口冖丁・OLYA〕
亮	〔亠口冖几・OLYQ〕
亲	〔立朩・IFvi〕
亳	〔亠口冖七・OLYA〕
亵	〔亠扌九𧘇・OAYR〕
人	〔人・Teƒ〕
亻	〔亻・Evƒ〕
亿	〔亻乙・EVi〕
什	〔亻十・EDh〕
仁	〔亻二・ESe〕
仂	〔亻力・EXl〕
仃	〔亻丁・EAn〕
仄	〔厂人・STeh〕
仅	〔亻又・EBu〕
仆	〔亻卜・EMo〕
仇	〔亻九・EYj〕
仉	〔亻几・EQj〕
今	〔人丶{顺折同乙}・TOVi〕
介	〔人{介下同八}・TTbe〕
仍	〔亻乃・EVa〕
从	〔人人・TTee〕
仑	〔人匕・TRie〕
仓	〔人{顺折同乙}・TVie〕
仔	〔亻子・EVk〕
仕	〔亻士・EHh〕
他	〔亻也・ECy〕
仗	〔亻{右上}乀・ESOd〕
付	〔亻寸・EAc〕
仙	〔亻山・EJs〕
仝	〔人工・TFoe〕
仞	〔亻刀丶・EBOd〕
仟	〔亻千・EWq〕
仡	〔亻{丿一同竹}乙・EQVi〕
代	〔亻弋・EGy〕
令	〔人丶{マ同又}・TOBu〕
以	〔{逆折同乚}丶人・XOTe〕
仨	〔亻三・EFa〕
仪	〔亻丶乂・EOWa〕
仫	〔亻丿厶・EQVv〕
们	〔亻门・EPn〕
仰	〔亻{卬左同卯}卩・ETXj〕
仲	〔亻口丨・ELNs〕
仳	〔亻匕匕・ERRi〕
仵	〔亻{丿一同竹}十・EQDh〕
件	〔亻牛・EWn〕
价	〔亻人{介下同八}・ETTb〕
任	〔亻壬・EEe〕
份	〔亻八刀・ETBd〕
仿	〔亻方・EOg〕
企	〔人止・TNie〕
伉	〔亻亠几・EOQj〕
伊	〔亻彐丿・EXQp〕
伍	〔亻一{五下同韋}・EFCi〕
伎	〔亻十又・EDBu〕
伏	〔亻犬・ESq〕
伐	〔亻戈・EGg〕
休	〔亻木・EFv〕
众	〔人人人・TTTe〕
优	〔亻尤・EDo〕
伙	〔亻火・EUv〕
会	〔人二厶・TSVv〕
伛	〔亻匚乂・EGWa〕
伞	〔人丷十・TUDh〕
伟	〔亻キ{顺折同乙}・EAVi〕
传	〔亻二{逆折同乚}丶・ESXO〕
伢	〔亻牙・EHy〕
伤	〔亻{丿一同竹}力・EQXl〕
伥	〔亻长・ETh〕
伦	〔亻人匕・ETRi〕
伧	〔亻人{顺折同乙}・ETVi〕
伪	〔亻丶力丶・EOXO〕
伫	〔亻宀一・EOFi〕
伯	〔亻白・EEb〕
估	〔亻古・EDg〕
伲	〔亻尸匕・EBRi〕
伴	〔亻丷キ・EUAv〕
伶	〔亻人丶{マ同又}・ETOB〕
伸	〔亻申・EKe〕
伺	〔亻{顺折同乙}一口・EVFL〕
似	〔亻{逆折同乚}丶人・EXOT〕
伽	〔亻力口・EXLv〕
佃	〔亻田・EJt〕
但	〔亻日一・EJFi〕
位	〔亻立・EIi〕
低	〔亻{卬左同卯}七丶・ETAO〕
住	〔亻丶王・EOGv〕
佐	〔亻{右上}工・ESFo〕
佑	〔亻{右上}口・ESLv〕
体	〔亻木一・EFFi〕
何	〔亻丁口・EALv〕
佗	〔亻宀匕・EORi〕
佘	〔人示・THse〕
余	〔人一朩・TFFv〕
佚	〔亻丿夫・EQGu〕
佛	〔亻弓{介下同八}・EVTb〕
作	〔亻{丿一同竹}{乍下同卜}・EQMo〕
佝	〔亻{⼓同月}口・EWLv〕
佞	〔亻二女・ESCv〕
佟	〔亻夂{两点同二}・EESe〕
你	〔亻冖小・EYMa〕
佣	〔亻用・ETn〕
佤	〔亻瓦・EAw〕
佥	〔人二{三點同氵}・TSIv〕
佧	〔亻上卜・EKMo〕
佩	〔亻几一巾・EQFM〕
佬	〔亻耂匕・EHRi〕
佯	〔亻羊・EUg〕
佰	〔亻{丆同石}日・EDJv〕
佳	〔亻土土・EHHv〕
佴	〔亻耳・EAr〕
佶	〔亻士口・EHLv〕
佻	〔亻儿二二・EQSS〕
佼	〔亻亠八乂・EOTW〕
佾	〔亻八月・ETWv〕
使	〔亻一口乂・EFLW〕
侃	〔亻口{荒下同儿}・ELQr〕
侄	〔亻至・EHk〕
侈	〔亻夕夕・ERRk〕
侉	〔亻大一丂・EGFS〕
例	〔亻歹刂・EDMd〕
侍	〔亻土寸・EHAc〕
侏	〔亻牛八・EWTb〕
侑	〔亻{右上}月・ESWv〕
侔	〔亻厶牛・EVWn〕
侗	〔亻冂一口・EKFL〕
