char,division,code,division_tw,code_tw,region
一,一,Fiⓘ,,,GB0
丁,丁,Jdⓓ,,,GB0
七,七,Xiⓘ,,,GB0
万,一勹,FWbⓘ,,,GB0
丈,乀,EKdⓩ,,,GB0
三,三,Laⓐ,,,GB0
上,上,Jvⓥ,,,GB0
下,下,Jxⓧ,,,GB0
丌,丌,Ljⓙ,,,GB0
不,不,Guⓤ,,,GB0
与,丂一,HFiⓚ,,,GB0
丐,丅一㇉,JFEi,,,GB0
丑,丑,Bcⓒ,,,GB0
专,二㇉丶,IEKd,,,GB0
且,且,Jqⓠ,,,GB0
丕,不一,GFiⓤ,,,GB0
世,世,Siⓘ,,,GB0
丘,斤一,DFiⓙ,,,GB0
丙,一冂人,FCRe,,,GB0
业,业,Ieⓔ,,,GB0
丛,人人一,RRFi,,,GB0
东,七小,XIvⓘ,,,GB0
丝,纟,KKjⓙ,,,GB0
丞,乛水一,YNFi,,,GB0
丢,壬厶,MNaⓡ,,,GB0
两,一冂人人,FCRR,,,GB0
严,丌䒑丿,LQGp,,,GB0
丧,十丷,GQMc,,,GB0
丨,丨,Usⓢ,,,GB0
个,人丨,RUsⓔ,,,GB0
丫,丷丨,QUsⓚ,,,GB0
丬,丬,Qqⓠ,,,GB0
中,口丨,LUsⓥ,,,GB0
丰,丰,Dfⓕ,,,GB0
串,口口丨,LLUs,,,GB0
临,〢日,UGJr,,,GB0
丶,丶,Kdⓓ,,,GB0
丸,九丶,RKdⓙ,,,GB0
丹,亠,WAtⓑ,,,GB0
为,丶力丶,KSKd,,,GB0
主,丶王,KJwⓓ,,,GB0
丽,一,FCCk,一一,FCFC,GB0
举,八,NKAk,,,GB0
丿,丿,Gpⓟ,,,GB0
乃,乃,Gnⓝ,,,GB0
久,⺈丶,XKdⓜ,,,GB0
乇,丿七,GXiⓟ,,,GB0
么,丿厶,GNaⓟ,,,GB0
义,丶乂,KSiⓓ,,,GB0
之,之,Ozⓩ,,,GB0
乌,乌,Mwⓦ,,,GB0
乍,𠂉,GUbⓩ,,,GB0
乎,丿丷𬺰,GQHc,,,GB0
乏,丿之,GOzⓟ,,,GB0
乐,小,KIvⓜ,,,GB0
