repr,zhu_code
一,Fi
一,Fi
丁,An
丂,Sk
七,Ai
七,Ai
三,Fa
下,Ak
丅,Ak
丌,Aj
不,Du
世,Hi
丰,Dn
二,Se
二,Se
{两点},Se
二,Se
亍,Ah
來,Dl
兀,Hw
兀,Hw
其,Dq
匚,Gf
{畏下},Gf
匸,Gf
匸,Gf
十,Dh
厂,Sh
古,Dg
土,Hv
耂,Hv
士,Hh
龶,Hh
{穀頭},Hh
大,Gd
夫,Gu
𡗗,Gu
寸,Ac
尤,Do
尢,Do
工,Fo
干,Hg
弋,Gy
戈,Gg
戊,Dw
扌,Av
キ,Av
キ,Av
ヰ,Av
キ,Av
木,Fv
朩,Fv
未,He
末,Ho
歹,Dd
爾,Fe
牙,Hy
犬,Sq
王,Gv
王,Gv
王,Gv
瓦,Aw
甫,Fu
石,Dv
丆,Dv
丆,Dv
示,Hs
示,Hs
而,Sr
耳,Ar
臣,Sc
至,Hk
艹,So
{冓上},So
龷,So
卅,So
卌,So
卄,So
卄,So
卝,So
卄,So
西,Di
覀,Di
襾,Di
豕,Ds
豕,Ds
走,Dk
車,Gc
叀,Gc
{專上},Gc
车,Hc
辰,Sn
酉,Go
長,Ha
镸,Ha
髟,Ha
雨,Dy
雨,Dy
面,Gi
革,Ge
馬,Dm
{馬上},Dm
{右上},Sv
{于下},Au
丶,Od
⼂,Od
㇏,Od
㇝,Od
乀,Od
之,Pc
亡,Uw
{贏頭},Uw
亥,Oi
亦,Pi
亦,Pi
宀,Ov
亠,Ov
广,Uu
户,Ih
戸,Ih
戶,Ih
文,Pw
方,Og
氵,Iv
{三點},Iv
{三點},Iv
{三點},Iv
{三點},Iv
火,Uv
灬,Uh
丬,Uh
丷,Uh
丷,Uh
リ,Uh
䒑,Uh
疒,Pb
礻,Us
穴,Px
立,Ii
米,Pm
羊,Ug
羊,Ug
衤,Py
言,Ua
言,Ua
讠,Oa
辛,Ox
辶,Po
辶,Po
辶,Po
门,Pn
鹿,Il
{鹿上},Il
麻,Pa
{微上},Ri
{爲下},Ww
丿,Qp
丿,Qp
丿,Qp
乂,Wa
乂,Wa
𠂭,Wa
乌,Ew
九,Yj
人,Te
人,Te
亻,Ev
僉,Rl
儿,Qr
{荒下},Qr
入,Ru
八,Tb
{介下},Tb
冖,Yv
冖,Yv
冖,Yv
冖,Yv
几,Qj
几,Qj
几,Qj
凡,Qn
匕,Ri
匕,Ri
千,Wq
卯,Ta
{齊右},Ta
{乐上},Ta
{卬左},Ta
{卯左},Ta
合,Ye
向,Rn
{向框},Rn
{囟框},Rn
壬,Ee
壬,Ee
夂,Eh
夂,Eh
夂,Eh
夂,Eh
夕,Rk
夭,Eo
川,Qc
彡,Ti
{癶右},Ti
{两撇},Ti
彳,Rc
心,Yn
忄,Yn
手,Tu
龵,Tu
斤,Ej
,Ej
,Ej
,Ej
月,Wv
⼓,Wv
⼓,Wv
{祭上},Wv
⺆,Wv
月,Wv
月,Wv
月,Wv
欠,Ei
殳,Qh
毛,Rm
气,Qq
烏,Yw
{烏上},Yw
爪,Ek
爪,Ek
爪,Ek
片,Tp
牛,Wn
⺧,Wn
牜,Wn
⺧,Wn
犭,Rv
瓜,Qu
生,Wg
用,Tn
白,Eb
矢,Qi
禾,Rh
禾,Rh
竹,Qv
竹,Qv
竹,Qv
{丿一},Qv
竹,Qv
{⺮右},Qv
{丿一},Qv
缶,Wo
自,Tk
臼,Rj
⾅,Rj
臼,Rj
舌,Re
舟,Qo
豸,Yi
身,We
身,We
金,Wj
金,Wj
钅,Tv
长,Th
隹,Wi
風,Rf
食,Ys
食,Ys
食,Ys
食,Ys
食,Ys
饣,Rs
鬼,Wu
{卑上},Wu
魚,Ty
鱼,Qy
鳥,Ro
{鳥上},Ro
鸟,Ya
{鸟上},Ya
𠂤,Yd
𧘇,Ry
𧘇,Ry
{亞下},Ja
{亞中},Ja
〇,Oo
〇,Oo
上,Ks
上,Ks
丄,Ks
且,Mi
且,Mi
冂,Kg
{雋下},Kg
冂,Kg
{冂丶},Kg
冊,Nc
冊,Nc
刂,Md
卜,Mo
{龍右},Mo
{乍下},Mo
卜,Mo
口,Lv
口,Lv
咼,Na
冎,Na
囗,Nw
小,Ma
小,Ma
小,Ma
小,Ma
尚,Ns
〢,Ns
丨,Ns
{四竖},Ns
〣,Ns
{尚头},Ns
丨,Ns
山,Js
巾,Mv
攴,Kp
日,Jv
日,Jv
早,Jo
曰,Je
止,Ni
水,Kh
水,Kh
田,Jt
由,Ko
甲,Kj
申,Ke
电,Kd
皿,Mn
目,Mu
禺,Ky
罒,Mw
虎,Mh
{虎头},Mh
{虎头},Mh
{虎头},Mh
{虎头},Mh
虫,Kv
見,Mx
见,Kx
貝,Mb
贝,Kb
足,Nv
足,Nv
足,Nv
門,Kn
非,Li
骨,Mg
⾻,Mg
鬥,Nd
鹵,Kl
黑,Ne
黽,Jm
{龜下},Jm
齒,Mc
龰,Nh
{鼠下},Bu
丑,Bc
乃,Va
乙,Vi
乙,Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{顺折},Vi
{逆折},Xi
{逆折},Xi
{逆折},Xi
{逆折},Xi
{逆折},Xi
{逆折},Xi
{逆折},Xi
{逆折},Xi
{逆折},Xi
{逆折},Xi
{逆折},Xi
也,Cy
乜,Cy
了,Vl
予,Cu
凵,Xa
屮,Xa
屮,Xa
丩,Xa
丱,Xa
丩,Xa
刀,Bd
力,Xl
卩,Xj
卩,Xj
厶,Vv
又,Bu
コ,Bu
コ,Bu
コ,Bu
ス,Bu
マ,Bu
マ,Bu
{登上},Bu
女,Cv
子,Vk
尸,Bv
尸,Bv
{眉上},Bv
巛,Vh
巜,Vh
己,Bj
已,Bi
巳,Ck
巴,Cb
幺,Vo
廴,Xn
弓,Vg
彐,Xv
彐,Xv
彐,Xv
肀,Xv
肀,Xv
母,Bm
{互中},Bm
{母框},Bm
{母框},Bm
爿,Xp
皮,Vp
矛,Co
糸,Bs
糹,Bs
纟,Vs
{纟上},Vs
羽,Xu
习,Xu
艮,Vn
阝,Cf
韋,Ci
{五下},Ci
飛,Bf
马,Xm
马,Xm
