repr,font,zhu_code
一,一,Fi
丁,丁,Ap
丂,丂,Uo
七,七,Ak
三,三,Uw
下,下,Bk
丅,丅,Bk
丌,丌,Rn
不,不,Iv
世,世,Gn
丰,丰,Zn
二,二,Pr
⺀,⺀,Pr
亍,亍,Js
來,來,Ej
兀,兀,Yr
其,其,Xi
匚,匚,Kv
{畏下},,Kv
十,十,Di
厂,厂,Kc
古,古,Bu
土,土,Gt
耂,耂,Gt
士,士,Gu
{穀頭},,Gu
大,大,Tj
夫,夫,Lv
寸,寸,Ah
尤,尤,By
尢,尢,By
工,工,Pj
干,干,Ns
弋,弋,Pu
戈,戈,Py
戊,戊,Pd
扌,扌,Ak
キ,,Ak
ヰ,ヰ,Ak
木,木,Fk
未,未,Sh
末,末,Sm
牙,牙,Ey
犬,犬,Xo
犭,犭,Xo
王,王,Me
瓦,瓦,Pc
甫,甫,Mt
石,石,Uh
丆,丆,Uh
示,示,Go
而,而,Ov
耳,耳,Ti
臣,臣,Bs
至,至,Hs
艹,艹,Sk
{冓上},,Sk
龷,龷,Sk
卄,卄,Sk
卝,卝,Sk
卌,卌,Sk
卅,卅,Sk
西,西,Zu
襾,襾,Zu
豕,豕,En
走,走,Ry
車,車,Ch
叀,叀,Ch
{專上},,Ch
车,车,Ml
辰,辰,Pe
酉,酉,Zk
長,長,Rc
镸,镸,Rd
雨,雨,Zj
面,面,Ot
革,革,Rl
馬,馬,Jr
{馬上},,Jr
髟,髟,Rr
龶,龶,Ga
{左上},,Sl
𡗗,𡗗,Ek
{于下},,Jx
丶,丶,Oo
乀,乀,Oo
丷,丷,Ql
丬,丬,Ql
䒑,䒑,Ql
リ,リ,Ql
之,之,Dj
亠,亠,Or
亡,亡,Em
{贏頭},,Em
亥,亥,Da
亦,亦,Rj
宀,宀,Hv
广,广,Px
戶,戶,Qk
户,户,Qk
戸,戸,Qk
文,文,Xp
方,方,Ir
氵,氵,Ic
⺍,⺍,Ic
{兴上},,Ic
火,火,Ms
灬,灬,Mw
疒,疒,Pt
穴,穴,Hx
立,立,Os
米,米,Ks
羊,羊,Ug
衤,衤,Nd
言,言,Ui
讠,讠,Dl
辛,辛,Ox
辶,辶,Dn
门,门,Xh
高,高,Oa
{亮頭},,Oa
{京頭},,Oa
{高頭},高,Oa
鹿,鹿,Pw
{鹿上},,Pw
麻,麻,Pp
{爲下},,Di
丿,丿,Wk
乂,乂,Ci
𠂭,,Ci
乌,乌,Hc
九,九,Wh
人,人,Rq
亻,亻,Er
僉,僉,Rd
儿,儿,Qr
{荒下},,Qr
入,入,Sl
八,八,Us
{介下},,Us
冖,冖,Ye
冖,⺈,Ye
几,几,Qh
匕,匕,Ib
千,千,Cr
卯,卯,Ig
{齊右},{齊右},Ig
{卯左},,Ig
{乐上},,Ig
{卬左},,Ig
合,合,Rh
向,向,Ra
{向框},,Ra
{囟框},,Ra
壬,壬,Ck
夊,夊,Eu
夕,夕,Ue
夭,夭,Zm
川,川,Vy
彡,彡,Sy
{两撇},,Sy
{癶右},,Sy
彳,彳,Vm
{微上},,Vm
心,心,Gp
忄,忄,Yd
手,手,Pg
龵,龵,Pg
斤,斤,Ne
⺁,⺁,Ne
月,月,Hr
勹,勹,Hr
⺆,,Hr
{祭上},,Hr
欠,欠,Na
殳,殳,Qm
毛,毛,Xm
气,气,Wj
烏,烏,Ty
{烏上},,Ty
爪,爪,Vj
片,片,Wn
牛,牛,Th
⺧,⺧,Th
瓜,瓜,Vp
生,生,Ei
用,用,Cc
白,白,Dp
矢,矢,Qj
禾,禾,Vn
竹,竹,Wk
𠂉,𠂉,Wk
{⺮右},,Wk
缶,缶,Qk
自,自,Mw
臼,臼,Hy
舌,舌,Lb
舟,舟,Ck
豸,豸,Xk
身,身,Qn
金,金,Sn
钅,钅,Tk
长,长,Li
隹,隹,Zi
風,風,Ek
食,食,Qi
饣,饣,Kd
鬼,鬼,Gm
{卑上},,Gm
魚,魚,Tn
鱼,鱼,Ya
鳥,鳥,Tm
{鳥上},,Tm
鸟,鸟,Hd
{鸟上},,Hd
𠂤,𠂤,Gd
𧘇,𧘇,Wh
𧘇,,Wh
{亞下},,Pr
{亞中},,Pr
上,上,Kg
丄,丄,Kg
上,,Kg
且,且,Mq
业,业,Yy
丨,丨,Zh
〣,〣,Zh
〢,〢,Zh
冂,冂,Zk
{雋下},,Zk
{冂丶},,Zk
冊,冊,Oz
刂,刂,Xd
卜,卜,Co
{乍下},,Co
{龍右},,Co
口,口,La
口,{黽上},La
咼,咼,Vn
冎,冎,Vn
囗,囗,Dd
小,小,Kj
尚,尚,Ki
龸,龸,Ki
山,山,Jl
巾,巾,Rk
日,日,Jk
早,早,Jv
曰,曰,Jw
止,止,Cz
水,水,Vu
田,田,Nt
由,由,Nv
甲,甲,Nr
申,申,Nc
电,电,Nx
皿,皿,Cm
目,目,Mv
禺,禺,Fl
罒,罒,Cd
虎,虎,Ku
{虎头},𮓗,Ku
{虎头},虍,Ku
{虎头},,Ku
虫,虫,Mc
見,見,Mr
见,见,Zp
貝,貝,Mf
贝,贝,Zv
足,足,Bn
里,里,Ni
門,門,Rm
非,非,Wi
骨,骨,Vw
鬥,鬥,Ri
鹵,鹵,Qk
黑,黑,Vk
黽,黽,Ao
{龜下},,Ao
齒,齒,Wl
龰,龰,Cu
{鼠下},,Bk
〇,〇,Oo
丑,丑,Ls
乃,乃,Rn
乙,乙,Vi
𠄎,𠄎,Vi
亅,亅,Vi
乛,乛,Vi
乁,乁,Vi
㔾,㔾,Vi
乚,乚,Eg
𡿨,𡿨,Eg
㇉,㇉,Eg
也,也,Si
乜,乜,Si
习,习,Ql
了,了,Kz
予,予,Cn
凵,凵,Xs
屮,屮,Xs
丱,丱,Xs
丩,丩,Xs
刀,刀,Dk
力,力,Wo
卩,卩,Xh
厶,厶,Kf
又,又,Bj
マ,マ,Bj
癶,癶,Bj
コ,コ,Bj
ス,ス,Bj
女,女,Oh
子,子,Kv
尸,尸,Bl
{眉上},,Bl
巛,巛,Pd
巜,巜,Pd
己,己,Ai
已,已,Al
巳,巳,Am
巴,巴,Aj
幺,幺,Uv
廴,廴,Yr
弓,弓,Nf
彐,彐,Xj
{反彐},彐,Xj
肀,肀,Xj
母,母,Ru
彑,彑,Ru
{母框},,Ru
{互中},,Ru
爿,爿,Wu
皮,皮,Tp
糸,糸,Yz
糹,糹,Yz
纟,纟,Ns
{纟上},,Ns
艮,艮,Yi
阝,阝,Cp
韋,韋,Jg
{五下},,Jg
飛,飛,Eo
马,马,Uy
