char,division,code,division_tw,code_tw,region
一,一,fi,一,fi,GB0
丁,丁,ag,丁,ag,GB0
七,七,ak,七,ak,GB0
万,一勹,fhr,一勹,fhr,GB0
丈,乀,soo,乀,soo,GB0
三,三,uw,三,uw,GB0
上,上,ka,上,ka,GB0
下,下,bk,下,bk,GB0
丌,丌,rj,丌,rj,GB0
不,不,iv,不,iv,GB0
与,丂一,ufi,丂一,ufi,GB0
丐,丅一㇉,bfe,丅一㇉,bfe,GB0
丑,丑,ic,丑,ic,GB0
专,二㇉丶,peo,二㇉丶,peo,GB0
且,且,mq,且,mq,GB0
丕,不一,ifi,不一,ifi,GB0
世,世,gn,世,gn,GB0
丘,斤一,nfi,斤一,nfi,GB0
丙,一冂人,fzr,一冂人,fzr,GB0
业,业,yy,业,yy,GB0
丛,人人一,rrf,人人一,rrf,GB0
东,七小,akj,七小,akj,GB0
丝,纟,nnc,纟,nnc,GB0
丞,乛水一,vvf,乛水一,vvf,GB0
丢,壬厶,ckf,壬厶,ckf,GB0
两,一冂人,fzr,一冂人,fzr,GB0
严,丌䒑丿,rqw,丌䒑丿,rqw,GB0
丧,十丷,dqk,十丷,dqk,GB0
丨,丨,zh,丨,zh,GB0
个,人丨,rzh,人丨,rzh,GB0
丫,丷丨,qzh,丷丨,qzh,GB0
丬,丬,qk,丬,qk,GB0
中,口丨,lzh,口丨,lzh,GB0
丰,丰,zn,丰,zn,GB0
串,口口丨,llz,口口丨,llz,GB0
临,〢日,zwj,〢日,zwj,GB0
丶,丶,oo,丶,oo,GB0
丸,九丶,woo,九丶,woo,GB0
丹,亠,hor,亠,hor,GB0
为,丶力丶,owo,丶力丶,owo,GB0
主,丶王,ome,丶王,ome,GB0
丽,一,fzz,一,fzz,GB0
举,八,iua,八,iua,GB0
丿,丿,wk,丿,wk,GB0
乃,乃,rn,乃,rn,GB0
久,⺈丶,yoo,⺈丶,yoo,GB0
乇,丿七,wak,丿七,wak,GB0
么,丿厶,wkf,丿厶,wkf,GB0
义,丶乂,oci,丶乂,oci,GB0
之,之,dj,之,dj,GB0
乌,乌,nw,乌,nw,GB0
乍,𠂉,wco,𠂉,wco,GB0
乎,丿丷,wqj,丿丷,wqj,GB0
乏,丿之,wdj,丿之,wdj,GB0
乐,小,ikj,小,ikj,GB0
乒,斤一丿,nfw,斤一丿,nfw,GB0
乓,斤一丶,nfo,斤一丶,nfo,GB0
乔,夭,zus,夭,zus,GB0
乖,千丬匕,cqi,千丬匕,cqi,GB0
乘,禾丬匕,vqi,禾丬匕,vqi,GB0
乙,乙,vi,乙,vi,GB0
乜,乜,si,乜,si,GB0
九,九,wh,九,wh,GB0
乞,𠂉乙,wvi,𠂉乙,wvi,GB0
也,也,si,也,si,GB0
习,习,qy,习,qy,GB0
乡,丿,nwk,丿,nwk,GB0
书,乛乛丶,vvo,乛乛丶,vvo,GB0
乩,卜口乚,cle,卜口乚,cle,GB0
买,乛⺀大,vpt,乛⺀大,vpt,GB0
乱,舌乚,leg,舌乚,leg,GB0
乳,爪子乚,vke,爪子乚,vke,GB0
乾,十早乙,djv,十早乙,djv,GB0
了,了,kz,了,kz,GB0
予,予,cv,予,cv,GB0
争,⺈彐亅,yxv,⺈彐亅,yxv,GB0
事,口彐,jlx,口彐,jlx,GB0
二,二,pr,二,pr,GB0
亍,亍,js,亍,js,GB0
于,一,fjv,一,fjv,GB0
亏,一丂,fuo,一丂,fuo,GB0
云,二厶,pkf,二厶,pkf,GB0
互,一彑,fru,一彑,fru,GB0
亓,一丌,frj,一丌,frj,GB0
五,一,fjg,一,fjg,GB0
井,二,pus,二,pus,GB0
亘,一日一,fjf,一日一,fjf,GB0
亚,丌䒑,rqk,丌䒑,rqk,GB0
些,止匕二,tip,止匕二,tip,GB0
亟,了口一,klf,丂口一,ulf,GB0
亠,亠,or,亠,or,GB0
亡,亡,em,亡,em,GB0
亢,亠几,oqh,亠几,oqh,GB0
交,亠八乂,ouc,亠八乂,ouc,GB0
亥,亥,da,亥,da,GB0
亦,亦,rj,亦,rj,GB0
产,立丿,owk,立丿,owk,GB0
亨,了,okz,了,okz,GB0
亩,亠田,ond,亠田,ond,GB0
享,子,okv,子,okv,GB0
京,小,okj,小,okj,GB0
亭,丁,oag,丁,oag,GB0
亮,几,oqh,儿,oqr,GB0
亲,立木,ofh,立木,ofh,GB0
亳,丿七,owa,丿七,owa,GB0
亵,亠扌𧘇,oaw,亠扌𧘇,oaw,GB0
人,人,rw,人,rw,GB0
亻,亻,er,亻,er,GB0
亿,亻乙,evi,亻乙,evi,GB0
什,亻十,edi,亻十,edi,GB0
仁,亻二,epr,亻二,epr,GB0
仂,亻力,ewo,亻力,ewo,GB0
仃,亻丁,eag,亻丁,eag,GB0
仄,厂人,krw,厂人,krw,GB0
仅,亻又,ebj,亻又,ebj,GB0
仆,亻卜,eco,亻卜,eco,GB0
仇,亻九,ewh,亻九,ewh,GB0
仉,亻几,eqh,亻几,eqh,GB0
今,人丶乛,rov,人一乛,rfv,GB0
介,人,rus,人,rus,GB0
仍,亻乃,ern,亻乃,ern,GB0
从,人人,rrw,人人,rrw,GB0
仑,人匕,rib,人匕,rib,GB0
仓,人㔾,rvi,人㔾,rvi,GB0
仔,亻子,ekv,亻子,ekv,GB0
仕,亻士,egs,亻士,egs,GB0
他,亻也,esi,亻也,esi,GB0
仗,亻乀,eso,亻乀,eso,GB0
付,亻寸,eah,亻寸,eah,GB0
仙,亻山,eju,亻山,eju,GB0
仝,人工,rpj,人工,rpj,GB0
仞,亻刀丶,edo,亻刀丶,edo,GB0
仟,亻千,ecr,亻千,ecr,GB0
仡,亻𠂉乙,ewv,亻𠂉乙,ewv,GB0
代,亻弋,epy,亻弋,epy,GB0
令,人丶マ,rob,人一マ,rfb,GB0
以,乚丶人,eor,乚丶人,eor,GB0
仨,亻三,euw,亻三,euw,GB0
仪,亻丶乂,eoc,亻丶乂,eoc,GB0
仫,亻丿厶,ewk,亻丿厶,ewk,GB0
们,亻门,exm,亻门,exm,GB0
仰,亻卩,eix,亻卩,eix,GB0
仲,亻口丨,elz,亻口丨,elz,GB0
仳,亻匕匕,eii,亻匕匕,eii,GB0
仵,亻𠂉十,ewd,亻𠂉十,ewd,GB0
件,亻牛,ett,亻牛,ett,GB0
价,亻人,eru,亻人,eru,GB0
任,亻壬,eck,亻壬,eck,GB0
份,亻八刀,eud,亻八刀,eud,GB0
仿,亻方,eir,亻方,eir,GB0
企,人止,rtw,人止,rtw,GB0
伉,亻亠几,eoq,亻亠几,eoq,GB0
伊,亻彐丿,exw,亻彐丿,exw,GB0
伍,亻一,efj,亻一,efj,GB0
伎,亻十又,edb,亻十又,edb,GB0
伏,亻犬,exo,亻犬,exo,GB0
