Ae	巳
Ag	丁
Ah	寸
Ai	己
Aj	巴
Ak	キ
Ak	七
Ak	ヰ
Ak	扌
Al	已
Am	{龜下}
Am	黽
Bd	尤
Bd	尢
Bi	{眉上}
Bi	尸
Bj	マ
Bj	又
Bj	コ
Bj	ス
Bj	癶
Bk	下
Bk	丅
Bn	足
Bs	臣
Bu	古
Ci	𠂭
Ci	乂
Cj	車
Cj	叀
Cj	{專上}
Ck	舟
Ck	壬
Cm	皿
Co	{乍下}
Co	卜
Co	{龍右}
Cp	阝
Cr	千
Cu	用
Cv	予
Cw	罒
Cy	牙
Da	亥
Di	十
Dj	之
Dk	刀
Dn	辶
Ds	{鼠下}
Ds	白
Dw	囗
Dy	讠
Eg	㇉
Eg	𡿨
Eg	乚
Eh	生
Ej	來
Ek	風
Em	{贏頭}
Em	亡
En	豕
Ep	𡗗
Er	亻
Eu	夊
Ev	飛
Fh	木
Fi	一
Gd	𠂤
Gm	{卑上}
Gm	鬼
Gn	世
Gp	心
Gq	龶
Gs	{穀頭}
Gs	士
Gt	土
Gt	耂
Gv	示
Hb	宀
Hc	穴
Hj	臼
Hr	{祭上}
Hr	勹
Hr	⺆
Hr	月
Hz	至
Ia	{乐上}
Ia	卯
Ia	{齊右}
Ia	{卯左}
Ia	{卬左}
Ib	匕
Ic	丑
Ic	{兴上}
Ic	⺍
Ic	氵
Ir	方
Iv	不
Ja	禺
Jg	韋
Jg	{五下}
Jj	曰
Jk	日
Jr	馬
Jr	{馬上}
Js	亍
Ju	山
Jv	{于下}
Jv	早
Ka	丄
Ka	上
Kc	厂
Kf	厶
Ki	尚
Ki	龸
Kj	小
Ks	饣
Ks	米
Ku	虎
Ku	{虎头}
Kv	子
Kv	{畏下}
Kv	匚
Kz	了
La	口
Lg	舌
Li	长
Lv	夫
Mc	虫
Me	王
Mf	貝
Ml	车
Mq	且
Mr	見
Ms	火
Mt	甫
Mv	目
Mw	自
Mw	灬
Na	甲
Nc	纟
Nc	{纟上}
Nd	田
Ni	里
Nm	⺁
Nm	斤
Nn	鸟
Nn	{鸟上}
No	弓
Ns	干
Nv	欠
Nw	乌
Ny	衤
Oa	高
Oa	{亮頭}
Oa	{高頭}
Oa	{京頭}
Oh	女
Oo	〇
Oo	乀
Oo	丶
Or	亠
Ot	面
Ou	立
Ov	而
Ox	辛
Oz	冊
Pa	麻
Pb	疒
Pc	巜
Pc	巛
Pd	戊
Pe	辰
Pg	龵
Pg	手
Pi	戈
Pj	工
Pr	{亞下}
Pr	二
Pr	{亞中}
Pr	⺀
Pw	{鹿上}
Pw	鹿
Px	广
Py	弋
Qh	几
Qi	食
Qj	矢
Qk	丷
Qk	户
Qk	丬
Qk	䒑
Qk	リ
Qk	戸
Qm	殳
Qn	身
Qo	缶
Qp	鹵
Qr	{荒下}
Qr	儿
Qv	戶
Qy	习
Rb	髟
Rc	長
Rd	僉
Rd	镸
Rh	合
Ri	鬥
Rj	亦
Rj	丌
Rk	巾
Rl	革
Rm	門
Rn	乃
Rs	向
Rs	{向框}
Rs	{囟框}
Ru	母
Ru	{互中}
Ru	{母框}
Ru	彑
Rw	人
Ry	走
Si	乜
Si	也
Sj	未
Sk	卝
Sk	卅
Sk	卄
Sk	龷
Sk	卌
Sk	{冓上}
Sk	艹
Sl	入
Sm	末
Sn	金
Ss	{左上}
Su	{爲下}
Sw	瓦
Sy	{癶右}
Sy	{两撇}
Sy	彡
Te	耳
Tj	大
Tj	钅
Tl	{烏上}
Tl	烏
Tm	{鳥上}
Tm	鳥
Tn	魚
Tp	皮
Ts	龰
Tt	⺧
Tt	牛
Tw	止
Ue	夕
Ug	羊
Uh	丆
Uh	石
Ui	言
Uj	幺
Uo	丂
Us	八
Us	{介下}
Uw	三
Uy	马
Vc	{微上}
Vc	彳
Vg	瓜
Vh	黑
Vi	㔾
Vi	乁
Vi	乛
Vi	亅
Vi	乙
Vi	𠄎
Vk	爪
Vn	冎
Vn	咼
Vn	禾
Vu	水
Vw	骨
Wh	九
Wh	𧘇
Wi	非
Wj	气
Wk	丿
Wo	力
Wp	爿
Wp	片
Wu	竹
Wu	𠂉
Wu	{⺮右}
Ww	齒
Xc	川
Xd	刂
Xi	其
Xj	彐
Xj	肀
Xj	卩
Xj	{反彐}
Xm	门
Xn	毛
Xo	犬
Xp	文
Xq	犭
Xs	丩
Xs	丱
Xs	凵
Xs	屮
Xz	豸
Ya	鱼
Yi	艮
Yj	廴
Ym	冖
Yn	由
Yr	兀
Ys	申
Yw	电
Yx	忄
Yy	业
Yz	糹
Yz	糸
Zh	〢
Zh	丨
Zh	〣
Zi	隹
Zj	雨
Zk	{冂丶}
Zk	酉
Zk	冂
Zk	{雋下}
Zm	夭
Zn	丰
Zp	见
Zu	襾
Zu	西
Zv	贝
